team,score,event,ranking,eventname,region
Luminosity Gaming,1210,11,9,spr_reg3,eu
Misfits Gaming,1150,11,10,spr_reg3,eu
00 Nation DNB,820,11,11,spr_reg3,eu
Team Liquid,780,11,12,spr_reg3,eu
Guild Esports,760,11,13,spr_reg3,eu
Williams Resolve,690,11,14,spr_reg3,eu
Solary,560,11,15,spr_reg3,eu
Natus Vincere,420,11,16,spr_reg3,eu
Aogiri,160,11,17,spr_reg3,eu
Wolves Esports,130,11,18,spr_reg3,eu
BS+COMPETITION,80,11,19,spr_reg3,eu
GROS NOOBZ,80,11,20,spr_reg3,eu
Juicers,80,11,21,spr_reg3,eu
SK Gaming,80,11,22,spr_reg3,eu
WYLDE,80,11,23,spr_reg3,eu
FC Barcelona,0,11,24,spr_reg3,eu
Heroic,0,11,25,spr_reg3,eu
Rix.GG,0,11,26,spr_reg3,eu
Stormtroopers,0,11,27,spr_reg3,eu
Team Singularity,0,11,28,spr_reg3,eu
The Bricks,0,11,29,spr_reg3,eu
Vodafone Giants,-10,11,30,spr_reg3,eu
Moist Esports,3734,12,1,spr_maj,eu
Team BDS,3604,12,2,spr_maj,eu
Endpoint CeX,2662,12,3,spr_maj,eu
Dignitas,2441,12,4,spr_maj,eu
Karmine Corp,2010,12,5,spr_maj,eu
SMPR Esports,1770,12,6,spr_maj,eu
Evil Geniuses,1740,12,7,spr_maj,eu
Team Vitality,1400,12,8,spr_maj,eu
Luminosity Gaming,1210,12,9,spr_maj,eu
Misfits Gaming,1150,12,10,spr_maj,eu
Team Liquid,1140,12,11,spr_maj,eu
00 Nation DNB,820,12,12,spr_maj,eu
Guild Esports,760,12,13,spr_maj,eu
Williams Resolve,690,12,14,spr_maj,eu
Solary,560,12,15,spr_maj,eu
Natus Vincere,420,12,16,spr_maj,eu
Aogiri,160,12,17,spr_maj,eu
Wolves Esports,130,12,18,spr_maj,eu
BS+COMPETITION,80,12,19,spr_maj,eu
GROS NOOBZ,80,12,20,spr_maj,eu
Juicers,80,12,21,spr_maj,eu
SK Gaming,80,12,22,spr_maj,eu
WYLDE,80,12,23,spr_maj,eu
FC Barcelona,0,12,24,spr_maj,eu
Heroic,0,12,25,spr_maj,eu
Rix.GG,0,12,26,spr_maj,eu
Stormtroopers,0,12,27,spr_maj,eu
Team Singularity,0,12,28,spr_maj,eu
The Bricks,0,12,29,spr_maj,eu
Vodafone Giants,-10,12,30,spr_maj,eu
