"team","eventname","score_change","score","event","ranking","region","season"
"G2 Esports","fall_reg1",150,150,1,6,"na","2021-2022"
"G2 Esports","fall_reg2",250,400,2,3,"na","2021-2022"
"G2 Esports","fall_reg3",301,701,3,2,"na","2021-2022"
"G2 Esports","fall_maj",220,921,4,3,"na","2021-2022"
"G2 Esports","win_reg1",190,1111,5,3,"na","2021-2022"
"G2 Esports","win_reg2",351,1462,6,3,"na","2021-2022"
"G2 Esports","win_reg3",260,1722,7,3,"na","2021-2022"
"G2 Esports","win_maj",701,2423,8,1,"na","2021-2022"
"G2 Esports","spr_reg1",401,2824,9,1,"na","2021-2022"
"G2 Esports","spr_reg2",401,3225,10,1,"na","2021-2022"
"G2 Esports","spr_reg3",350,3575,11,1,"na","2021-2022"
"G2 Esports","spr_maj",260,3835,12,1,"na","2021-2022"
"FaZe Clan","fall_reg1",301,301,1,1,"na","2021-2022"
"FaZe Clan","fall_reg2",110,411,2,2,"na","2021-2022"
"FaZe Clan","fall_reg3",200,611,3,3,"na","2021-2022"
"FaZe Clan","fall_maj",400,1011,4,2,"na","2021-2022"
"FaZe Clan","win_reg1",260,1271,5,2,"na","2021-2022"
"FaZe Clan","win_reg2",260,1531,6,2,"na","2021-2022"
"FaZe Clan","win_reg3",220,1751,7,2,"na","2021-2022"
"FaZe Clan","win_maj",440,2191,8,3,"na","2021-2022"
"FaZe Clan","spr_reg1",300,2491,9,3,"na","2021-2022"
"FaZe Clan","spr_reg2",180,2671,10,3,"na","2021-2022"
"FaZe Clan","spr_reg3",401,3072,11,2,"na","2021-2022"
"FaZe Clan","spr_maj",260,3332,12,2,"na","2021-2022"
"NRG","fall_reg1",250,250,1,2,"na","2021-2022"
"NRG","fall_reg2",301,551,2,1,"na","2021-2022"
"NRG","fall_reg3",200,751,3,1,"na","2021-2022"
"NRG","fall_maj",500,1251,4,1,"na","2021-2022"
"NRG","win_reg1",351,1602,5,1,"na","2021-2022"
"NRG","win_reg2",300,1902,6,1,"na","2021-2022"
"NRG","win_reg3",300,2202,7,1,"na","2021-2022"
"NRG","win_maj",220,2422,8,2,"na","2021-2022"
"NRG","spr_reg1",130,2552,9,2,"na","2021-2022"
"NRG","spr_reg2",250,2802,10,2,"na","2021-2022"
"NRG","spr_reg3",130,2932,11,3,"na","2021-2022"
"NRG","spr_maj",0,2932,12,3,"na","2021-2022"
"Version1","fall_reg1",200,200,1,4,"na","2021-2022"
"Version1","fall_reg2",150,350,2,7,"na","2021-2022"
"Version1","fall_reg3",40,390,3,8,"na","2021-2022"
"Version1","fall_maj",0,390,4,8,"na","2021-2022"
"Version1","win_reg1",220,610,5,7,"na","2021-2022"
"Version1","win_reg2",110,720,6,7,"na","2021-2022"
"Version1","win_reg3",351,1071,7,6,"na","2021-2022"
"Version1","win_maj",380,1451,8,5,"na","2021-2022"
"Version1","spr_reg1",210,1661,9,5,"na","2021-2022"
"Version1","spr_reg2",350,2011,10,5,"na","2021-2022"
"Version1","spr_reg3",300,2311,11,5,"na","2021-2022"
"Version1","spr_maj",600,2911,12,4,"na","2021-2022"
"Spacestation Gaming","fall_reg1",200,200,1,3,"na","2021-2022"
"Spacestation Gaming","fall_reg2",150,350,2,6,"na","2021-2022"
"Spacestation Gaming","fall_reg3",150,500,3,6,"na","2021-2022"
"Spacestation Gaming","fall_maj",0,500,4,6,"na","2021-2022"
"Spacestation Gaming","win_reg1",300,800,5,6,"na","2021-2022"
"Spacestation Gaming","win_reg2",220,1020,6,5,"na","2021-2022"
"Spacestation Gaming","win_reg3",110,1130,7,5,"na","2021-2022"
"Spacestation Gaming","win_maj",520,1650,8,4,"na","2021-2022"
"Spacestation Gaming","spr_reg1",350,2000,9,4,"na","2021-2022"
"Spacestation Gaming","spr_reg2",130,2130,10,4,"na","2021-2022"
"Spacestation Gaming","spr_reg3",250,2380,11,4,"na","2021-2022"
"Spacestation Gaming","spr_maj",420,2800,12,5,"na","2021-2022"
"OpTic Gaming","fall_reg1",150,150,1,7,"na","2021-2022"
"OpTic Gaming","fall_reg2",200,350,2,5,"na","2021-2022"
"OpTic Gaming","fall_reg3",250,600,3,4,"na","2021-2022"
"OpTic Gaming","fall_maj",140,740,4,5,"na","2021-2022"
"OpTic Gaming","win_reg1",60,800,5,5,"na","2021-2022"
"OpTic Gaming","win_reg2",160,960,6,6,"na","2021-2022"
"OpTic Gaming","win_reg3",110,1070,7,7,"na","2021-2022"
"OpTic Gaming","win_maj",0,1070,8,7,"na","2021-2022"
"OpTic Gaming","spr_reg1",210,1280,9,7,"na","2021-2022"
"OpTic Gaming","spr_reg2",300,1580,10,6,"na","2021-2022"
"OpTic Gaming","spr_reg3",210,1790,11,6,"na","2021-2022"
"OpTic Gaming","spr_maj",360,2150,12,6,"na","2021-2022"
"Complexity Gaming","fall_reg1",150,150,1,5,"na","2021-2022"
"Complexity Gaming","fall_reg2",200,350,2,4,"na","2021-2022"
"Complexity Gaming","fall_reg3",150,500,3,5,"na","2021-2022"
"Complexity Gaming","fall_maj",300,800,4,4,"na","2021-2022"
"Complexity Gaming","win_reg1",160,960,5,4,"na","2021-2022"
"Complexity Gaming","win_reg2",60,1020,6,4,"na","2021-2022"
"Complexity Gaming","win_reg3",190,1210,7,4,"na","2021-2022"
"Complexity Gaming","win_maj",0,1210,8,6,"na","2021-2022"
"Complexity Gaming","spr_reg1",130,1340,9,6,"na","2021-2022"
"Complexity Gaming","spr_reg2",210,1550,10,7,"na","2021-2022"
"Complexity Gaming","spr_reg3",210,1760,11,7,"na","2021-2022"
"Complexity Gaming","spr_maj",0,1760,12,7,"na","2021-2022"
"Oxygen Esports","fall_reg1",0,0,1,24,"na","2021-2022"
"Oxygen Esports","fall_reg2",0,0,2,25,"na","2021-2022"
"Oxygen Esports","fall_reg3",150,150,3,16,"na","2021-2022"
"Oxygen Esports","fall_maj",0,150,4,16,"na","2021-2022"
"Oxygen Esports","win_reg1",190,340,5,10,"na","2021-2022"
"Oxygen Esports","win_reg2",190,530,6,10,"na","2021-2022"
"Oxygen Esports","win_reg3",190,720,7,8,"na","2021-2022"
"Oxygen Esports","win_maj",0,720,8,8,"na","2021-2022"
"Oxygen Esports","spr_reg1",130,850,9,8,"na","2021-2022"
"Oxygen Esports","spr_reg2",80,930,10,8,"na","2021-2022"
"Oxygen Esports","spr_reg3",180,1110,11,8,"na","2021-2022"
"Oxygen Esports","spr_maj",0,1110,12,8,"na","2021-2022"
"Rogue","fall_reg1",70,70,1,12,"na","2021-2022"
"Rogue","fall_reg2",70,140,2,12,"na","2021-2022"
"Rogue","fall_reg3",70,210,3,11,"na","2021-2022"
"Rogue","fall_maj",0,210,4,11,"na","2021-2022"
"Rogue","win_reg1",110,320,5,11,"na","2021-2022"
"Rogue","win_reg2",190,510,6,11,"na","2021-2022"
"Rogue","win_reg3",110,620,7,10,"na","2021-2022"
"Rogue","win_maj",0,620,8,10,"na","2021-2022"
"Rogue","spr_reg1",180,800,9,9,"na","2021-2022"
"Rogue","spr_reg2",130,930,10,9,"na","2021-2022"
"Rogue","spr_reg3",130,1060,11,9,"na","2021-2022"
"Rogue","spr_maj",0,1060,12,9,"na","2021-2022"
"Ghost Gaming","fall_reg1",110,110,1,9,"na","2021-2022"
"Ghost Gaming","fall_reg2",150,260,2,9,"na","2021-2022"
"Ghost Gaming","fall_reg3",150,410,3,7,"na","2021-2022"
"Ghost Gaming","fall_maj",0,410,4,7,"na","2021-2022"
"Ghost Gaming","win_reg1",60,470,5,8,"na","2021-2022"
"Ghost Gaming","win_reg2",60,530,6,9,"na","2021-2022"
"Ghost Gaming","win_reg3",0,530,7,11,"na","2021-2022"
"Ghost Gaming","win_maj",0,530,8,11,"na","2021-2022"
"Ghost Gaming","spr_reg1",250,780,9,10,"na","2021-2022"
"Ghost Gaming","spr_reg2",80,860,10,10,"na","2021-2022"
"Ghost Gaming","spr_reg3",80,940,11,10,"na","2021-2022"
"Ghost Gaming","spr_maj",0,940,12,10,"na","2021-2022"
"Soniqs","fall_reg1",110,110,1,10,"na","2021-2022"
"Soniqs","fall_reg2",70,180,2,11,"na","2021-2022"
"Soniqs","fall_reg3",0,180,3,12,"na","2021-2022"
"Soniqs","fall_maj",0,180,4,12,"na","2021-2022"
"Soniqs","win_reg1",110,290,5,12,"na","2021-2022"
"Soniqs","win_reg2",60,350,6,12,"na","2021-2022"
"Soniqs","win_reg3",110,460,7,12,"na","2021-2022"
"Soniqs","win_maj",0,460,8,12,"na","2021-2022"
"Soniqs","spr_reg1",80,540,9,12,"na","2021-2022"
"Soniqs","spr_reg2",180,720,10,12,"na","2021-2022"
"Soniqs","spr_reg3",130,850,11,11,"na","2021-2022"
"Soniqs","spr_maj",0,850,12,11,"na","2021-2022"
"XSET","fall_reg1",150,150,1,8,"na","2021-2022"
"XSET","fall_reg2",150,300,2,8,"na","2021-2022"
"XSET","fall_reg3",70,370,3,9,"na","2021-2022"
"XSET","fall_maj",0,370,4,9,"na","2021-2022"
"XSET","win_reg1",60,430,5,9,"na","2021-2022"
"XSET","win_reg2",160,590,6,8,"na","2021-2022"
"XSET","win_reg3",60,650,7,9,"na","2021-2022"
"XSET","win_maj",0,650,8,9,"na","2021-2022"
"XSET","spr_reg1",0,650,9,11,"na","2021-2022"
"XSET","spr_reg2",130,780,10,11,"na","2021-2022"
"XSET","spr_reg3",0,780,11,12,"na","2021-2022"
"XSET","spr_maj",0,780,12,12,"na","2021-2022"
"Torrent","fall_reg1",110,110,1,11,"na","2021-2022"
"Torrent","fall_reg2",110,220,2,10,"na","2021-2022"
"Torrent","fall_reg3",0,220,3,10,"na","2021-2022"
"Torrent","fall_maj",0,220,4,10,"na","2021-2022"
"Torrent","win_reg1",60,280,5,13,"na","2021-2022"
"Torrent","win_reg2",0,280,6,15,"na","2021-2022"
"Torrent","win_reg3",160,440,7,13,"na","2021-2022"
"Torrent","win_maj",0,440,8,13,"na","2021-2022"
"Torrent","spr_reg1",0,440,9,14,"na","2021-2022"
"Torrent","spr_reg2",210,650,10,13,"na","2021-2022"
"Torrent","spr_reg3",0,650,11,13,"na","2021-2022"
"Torrent","spr_maj",0,650,12,13,"na","2021-2022"
"Akrew","fall_reg1",0,0,1,17,"na","2021-2022"
"Akrew","fall_reg2",110,110,2,13,"na","2021-2022"
"Akrew","fall_reg3",40,150,3,14,"na","2021-2022"
"Akrew","fall_maj",0,150,4,14,"na","2021-2022"
"Akrew","win_reg1",110,260,5,14,"na","2021-2022"
"Akrew","win_reg2",0,260,6,16,"na","2021-2022"
"Akrew","win_reg3",0,260,7,16,"na","2021-2022"
"Akrew","win_maj",0,260,8,16,"na","2021-2022"
"Akrew","spr_reg1",180,440,9,13,"na","2021-2022"
"Akrew","spr_reg2",0,440,10,14,"na","2021-2022"
"Akrew","spr_reg3",180,620,11,14,"na","2021-2022"
"Akrew","spr_maj",0,620,12,14,"na","2021-2022"
"Stromboli","fall_reg1",70,70,1,14,"na","2021-2022"
"Stromboli","fall_reg2",0,70,2,15,"na","2021-2022"
"Stromboli","fall_reg3",110,180,3,13,"na","2021-2022"
"Stromboli","fall_maj",0,180,4,13,"na","2021-2022"
"Stromboli","win_reg1",0,180,5,16,"na","2021-2022"
"Stromboli","win_reg2",110,290,6,14,"na","2021-2022"
"Stromboli","win_reg3",60,350,7,15,"na","2021-2022"
"Stromboli","win_maj",0,350,8,15,"na","2021-2022"
"Stromboli","spr_reg1",80,430,9,15,"na","2021-2022"
"Stromboli","spr_reg2",0,430,10,15,"na","2021-2022"
"Stromboli","spr_reg3",80,510,11,15,"na","2021-2022"
"Stromboli","spr_maj",0,510,12,15,"na","2021-2022"
"Shopify Rebellion","fall_reg1",70,70,1,13,"na","2021-2022"
"Shopify Rebellion","fall_reg2",0,70,2,14,"na","2021-2022"
"Shopify Rebellion","fall_reg3",0,70,3,19,"na","2021-2022"
"Shopify Rebellion","fall_maj",0,70,4,19,"na","2021-2022"
"Shopify Rebellion","win_reg1",160,230,5,15,"na","2021-2022"
"Shopify Rebellion","win_reg2",110,340,6,13,"na","2021-2022"
"Shopify Rebellion","win_reg3",60,400,7,14,"na","2021-2022"
"Shopify Rebellion","win_maj",0,400,8,14,"na","2021-2022"
"Shopify Rebellion","spr_reg1",0,400,9,16,"na","2021-2022"
"Shopify Rebellion","spr_reg2",0,400,10,16,"na","2021-2022"
"Shopify Rebellion","spr_reg3",80,480,11,16,"na","2021-2022"
"Shopify Rebellion","spr_maj",0,480,12,16,"na","2021-2022"
"Randoms","fall_reg1",0,0,1,26,"na","2021-2022"
"Randoms","fall_reg2",0,0,2,27,"na","2021-2022"
"Randoms","fall_reg3",0,0,3,27,"na","2021-2022"
"Randoms","fall_maj",0,0,4,27,"na","2021-2022"
"Randoms","win_reg1",0,0,5,27,"na","2021-2022"
"Randoms","win_reg2",0,0,6,27,"na","2021-2022"
"Randoms","win_reg3",160,160,7,18,"na","2021-2022"
"Randoms","win_maj",0,160,8,18,"na","2021-2022"
"Randoms","spr_reg1",0,160,9,18,"na","2021-2022"
"Randoms","spr_reg2",0,160,10,19,"na","2021-2022"
"Randoms","spr_reg3",130,290,11,17,"na","2021-2022"
"Randoms","spr_maj",0,290,12,17,"na","2021-2022"
"AXLE0R8","fall_reg1",0,0,1,19,"na","2021-2022"
"AXLE0R8","fall_reg2",0,0,2,22,"na","2021-2022"
"AXLE0R8","fall_reg3",70,70,3,18,"na","2021-2022"
"AXLE0R8","fall_maj",0,70,4,18,"na","2021-2022"
"AXLE0R8","win_reg1",0,70,5,20,"na","2021-2022"
"AXLE0R8","win_reg2",0,70,6,22,"na","2021-2022"
"AXLE0R8","win_reg3",0,70,7,23,"na","2021-2022"
"AXLE0R8","win_maj",0,70,8,23,"na","2021-2022"
"AXLE0R8","spr_reg1",130,200,9,17,"na","2021-2022"
"AXLE0R8","spr_reg2",80,280,10,17,"na","2021-2022"
"AXLE0R8","spr_reg3",0,280,11,18,"na","2021-2022"
"AXLE0R8","spr_maj",0,280,12,18,"na","2021-2022"
"AllMid","fall_reg1",0,0,1,18,"na","2021-2022"
"AllMid","fall_reg2",0,0,2,21,"na","2021-2022"
"AllMid","fall_reg3",0,0,3,24,"na","2021-2022"
"AllMid","fall_maj",0,0,4,24,"na","2021-2022"
"AllMid","win_reg1",0,0,5,24,"na","2021-2022"
"AllMid","win_reg2",0,0,6,24,"na","2021-2022"
"AllMid","win_reg3",60,60,7,24,"na","2021-2022"
"AllMid","win_maj",0,60,8,24,"na","2021-2022"
"AllMid","spr_reg1",80,140,9,21,"na","2021-2022"
"AllMid","spr_reg2",80,220,10,18,"na","2021-2022"
"AllMid","spr_reg3",0,220,11,19,"na","2021-2022"
"AllMid","spr_maj",0,220,12,19,"na","2021-2022"
"Pittsburgh Knights","fall_reg1",0,0,1,25,"na","2021-2022"
"Pittsburgh Knights","fall_reg2",0,0,2,26,"na","2021-2022"
"Pittsburgh Knights","fall_reg3",0,0,3,26,"na","2021-2022"
"Pittsburgh Knights","fall_maj",0,0,4,26,"na","2021-2022"
"Pittsburgh Knights","win_reg1",0,0,5,26,"na","2021-2022"
"Pittsburgh Knights","win_reg2",0,0,6,26,"na","2021-2022"
"Pittsburgh Knights","win_reg3",0,0,7,27,"na","2021-2022"
"Pittsburgh Knights","win_maj",0,0,8,27,"na","2021-2022"
"Pittsburgh Knights","spr_reg1",0,0,9,26,"na","2021-2022"
"Pittsburgh Knights","spr_reg2",130,130,10,22,"na","2021-2022"
"Pittsburgh Knights","spr_reg3",80,210,11,20,"na","2021-2022"
"Pittsburgh Knights","spr_maj",0,210,12,20,"na","2021-2022"
"eUnited","fall_reg1",0,0,1,21,"na","2021-2022"
"eUnited","fall_reg2",40,40,2,17,"na","2021-2022"
"eUnited","fall_reg3",110,150,3,15,"na","2021-2022"
"eUnited","fall_maj",0,150,4,15,"na","2021-2022"
"eUnited","win_reg1",0,150,5,18,"na","2021-2022"
"eUnited","win_reg2",0,150,6,18,"na","2021-2022"
"eUnited","win_reg3",0,150,7,19,"na","2021-2022"
"eUnited","win_maj",0,150,8,19,"na","2021-2022"
"eUnited","spr_reg1",0,150,9,19,"na","2021-2022"
"eUnited","spr_reg2",0,150,10,20,"na","2021-2022"
"eUnited","spr_reg3",0,150,11,21,"na","2021-2022"
"eUnited","spr_maj",0,150,12,21,"na","2021-2022"
"Limitless","fall_reg1",40,40,1,16,"na","2021-2022"
"Limitless","fall_reg2",0,40,2,19,"na","2021-2022"
"Limitless","fall_reg3",0,40,3,22,"na","2021-2022"
"Limitless","fall_maj",0,40,4,22,"na","2021-2022"
"Limitless","win_reg1",0,40,5,22,"na","2021-2022"
"Limitless","win_reg2",110,150,6,19,"na","2021-2022"
"Limitless","win_reg3",0,150,7,20,"na","2021-2022"
"Limitless","win_maj",0,150,8,20,"na","2021-2022"
"Limitless","spr_reg1",0,150,9,20,"na","2021-2022"
"Limitless","spr_reg2",0,150,10,21,"na","2021-2022"
"Limitless","spr_reg3",0,150,11,22,"na","2021-2022"
"Limitless","spr_maj",0,150,12,22,"na","2021-2022"
"Ducks on Quack","fall_reg1",0,0,1,20,"na","2021-2022"
"Ducks on Quack","fall_reg2",0,0,2,23,"na","2021-2022"
"Ducks on Quack","fall_reg3",110,110,3,17,"na","2021-2022"
"Ducks on Quack","fall_maj",0,110,4,17,"na","2021-2022"
"Ducks on Quack","win_reg1",0,110,5,19,"na","2021-2022"
"Ducks on Quack","win_reg2",0,110,6,20,"na","2021-2022"
"Ducks on Quack","win_reg3",0,110,7,21,"na","2021-2022"
"Ducks on Quack","win_maj",0,110,8,21,"na","2021-2022"
"Ducks on Quack","spr_reg1",0,110,9,22,"na","2021-2022"
"Ducks on Quack","spr_reg2",0,110,10,23,"na","2021-2022"
"Ducks on Quack","spr_reg3",0,110,11,23,"na","2021-2022"
"Ducks on Quack","spr_maj",0,110,12,23,"na","2021-2022"
"Gentlemen","fall_reg1",40,40,1,15,"na","2021-2022"
"Gentlemen","fall_reg2",0,40,2,18,"na","2021-2022"
"Gentlemen","fall_reg3",0,40,3,21,"na","2021-2022"
"Gentlemen","fall_maj",0,40,4,21,"na","2021-2022"
"Gentlemen","win_reg1",0,40,5,21,"na","2021-2022"
"Gentlemen","win_reg2",60,100,6,21,"na","2021-2022"
"Gentlemen","win_reg3",0,100,7,22,"na","2021-2022"
"Gentlemen","win_maj",0,100,8,22,"na","2021-2022"
"Gentlemen","spr_reg1",0,100,9,23,"na","2021-2022"
"Gentlemen","spr_reg2",0,100,10,24,"na","2021-2022"
"Gentlemen","spr_reg3",0,100,11,24,"na","2021-2022"
"Gentlemen","spr_maj",0,100,12,24,"na","2021-2022"
"Friends","fall_reg1",0,0,1,22,"na","2021-2022"
"Friends","fall_reg2",0,0,2,24,"na","2021-2022"
"Friends","fall_reg3",0,0,3,25,"na","2021-2022"
"Friends","fall_maj",0,0,4,25,"na","2021-2022"
"Friends","win_reg1",0,0,5,25,"na","2021-2022"
"Friends","win_reg2",0,0,6,25,"na","2021-2022"
"Friends","win_reg3",0,0,7,26,"na","2021-2022"
"Friends","win_maj",0,0,8,26,"na","2021-2022"
"Friends","spr_reg1",80,80,9,24,"na","2021-2022"
"Friends","spr_reg2",0,80,10,25,"na","2021-2022"
"Friends","spr_reg3",0,80,11,25,"na","2021-2022"
"Friends","spr_maj",0,80,12,25,"na","2021-2022"
"Nefarious","fall_reg1",0,0,1,23,"na","2021-2022"
"Nefarious","fall_reg2",40,40,2,20,"na","2021-2022"
"Nefarious","fall_reg3",0,40,3,23,"na","2021-2022"
"Nefarious","fall_maj",0,40,4,23,"na","2021-2022"
"Nefarious","win_reg1",0,40,5,23,"na","2021-2022"
"Nefarious","win_reg2",0,40,6,23,"na","2021-2022"
"Nefarious","win_reg3",0,40,7,25,"na","2021-2022"
"Nefarious","win_maj",0,40,8,25,"na","2021-2022"
"Nefarious","spr_reg1",0,40,9,25,"na","2021-2022"
"Nefarious","spr_reg2",0,40,10,26,"na","2021-2022"
"Nefarious","spr_reg3",0,40,11,26,"na","2021-2022"
"Nefarious","spr_maj",0,40,12,26,"na","2021-2022"
"sup","fall_reg1",0,0,1,27,"na","2021-2022"
"sup","fall_reg2",70,70,2,16,"na","2021-2022"
"sup","fall_reg3",0,70,3,20,"na","2021-2022"
"sup","fall_maj",0,70,4,20,"na","2021-2022"
"sup","win_reg1",110,180,5,17,"na","2021-2022"
"sup","win_reg2",0,180,6,17,"na","2021-2022"
"sup","win_reg3",0,180,7,17,"na","2021-2022"
"sup","win_maj",0,180,8,17,"na","2021-2022"
"sup","spr_reg1",-180,0,9,27,"na","2021-2022"
"sup","spr_reg2",0,0,10,27,"na","2021-2022"
"sup","spr_reg3",0,0,11,27,"na","2021-2022"
"sup","spr_maj",0,0,12,27,"na","2021-2022"
"Moist Esports","fall_reg1",110,110,1,11,"eu","2021-2022"
"Moist Esports","fall_reg2",70,180,2,13,"eu","2021-2022"
"Moist Esports","fall_reg3",150,330,3,10,"eu","2021-2022"
"Moist Esports","fall_maj",0,330,4,10,"eu","2021-2022"
"Moist Esports","win_reg1",351,681,5,6,"eu","2021-2022"
"Moist Esports","win_reg2",300,981,6,5,"eu","2021-2022"
"Moist Esports","win_reg3",351,1332,7,4,"eu","2021-2022"
"Moist Esports","win_maj",600,1932,8,3,"eu","2021-2022"
"Moist Esports","spr_reg1",350,2282,9,2,"eu","2021-2022"
"Moist Esports","spr_reg2",250,2532,10,2,"eu","2021-2022"
"Moist Esports","spr_reg3",401,2933,11,2,"eu","2021-2022"
"Moist Esports","spr_maj",801,3734,12,1,"eu","2021-2022"
"Team BDS","fall_reg1",250,250,1,2,"eu","2021-2022"
"Team BDS","fall_reg2",200,450,2,2,"eu","2021-2022"
"Team BDS","fall_reg3",200,650,3,3,"eu","2021-2022"
"Team BDS","fall_maj",601,1251,4,1,"eu","2021-2022"
"Team BDS","win_reg1",260,1511,5,1,"eu","2021-2022"
"Team BDS","win_reg2",351,1862,6,1,"eu","2021-2022"
"Team BDS","win_reg3",110,1972,7,1,"eu","2021-2022"
"Team BDS","win_maj",320,2292,8,1,"eu","2021-2022"
"Team BDS","spr_reg1",401,2693,9,1,"eu","2021-2022"
"Team BDS","spr_reg2",401,3094,10,1,"eu","2021-2022"
"Team BDS","spr_reg3",350,3444,11,1,"eu","2021-2022"
"Team BDS","spr_maj",160,3604,12,2,"eu","2021-2022"
"Endpoint CeX","fall_reg1",301,301,1,1,"eu","2021-2022"
"Endpoint CeX","fall_reg2",110,411,2,3,"eu","2021-2022"
"Endpoint CeX","fall_reg3",301,712,3,1,"eu","2021-2022"
"Endpoint CeX","fall_maj",300,1012,4,2,"eu","2021-2022"
"Endpoint CeX","win_reg1",220,1232,5,3,"eu","2021-2022"
"Endpoint CeX","win_reg2",110,1342,6,3,"eu","2021-2022"
"Endpoint CeX","win_reg3",300,1642,7,3,"eu","2021-2022"
"Endpoint CeX","win_maj",220,1862,8,4,"eu","2021-2022"
"Endpoint CeX","spr_reg1",130,1992,9,4,"eu","2021-2022"
"Endpoint CeX","spr_reg2",210,2202,10,4,"eu","2021-2022"
"Endpoint CeX","spr_reg3",300,2502,11,3,"eu","2021-2022"
"Endpoint CeX","spr_maj",160,2662,12,3,"eu","2021-2022"
"Dignitas","fall_reg1",200,200,1,3,"eu","2021-2022"
"Dignitas","fall_reg2",301,501,2,1,"eu","2021-2022"
"Dignitas","fall_reg3",200,701,3,2,"eu","2021-2022"
"Dignitas","fall_maj",300,1001,4,3,"eu","2021-2022"
"Dignitas","win_reg1",300,1301,5,2,"eu","2021-2022"
"Dignitas","win_reg2",190,1491,6,2,"eu","2021-2022"
"Dignitas","win_reg3",260,1751,7,2,"eu","2021-2022"
"Dignitas","win_maj",220,1971,8,2,"eu","2021-2022"
"Dignitas","spr_reg1",130,2101,9,3,"eu","2021-2022"
"Dignitas","spr_reg2",130,2231,10,3,"eu","2021-2022"
"Dignitas","spr_reg3",210,2441,11,4,"eu","2021-2022"
"Dignitas","spr_maj",0,2441,12,4,"eu","2021-2022"
"Karmine Corp","fall_reg1",200,200,1,4,"eu","2021-2022"
"Karmine Corp","fall_reg2",40,240,2,10,"eu","2021-2022"
"Karmine Corp","fall_reg3",150,390,3,7,"eu","2021-2022"
"Karmine Corp","fall_maj",0,390,4,7,"eu","2021-2022"
"Karmine Corp","win_reg1",160,550,5,7,"eu","2021-2022"
"Karmine Corp","win_reg2",110,660,6,9,"eu","2021-2022"
"Karmine Corp","win_reg3",160,820,7,8,"eu","2021-2022"
"Karmine Corp","win_maj",0,820,8,8,"eu","2021-2022"
"Karmine Corp","spr_reg1",210,1030,9,8,"eu","2021-2022"
"Karmine Corp","spr_reg2",300,1330,10,7,"eu","2021-2022"
"Karmine Corp","spr_reg3",180,1510,11,7,"eu","2021-2022"
"Karmine Corp","spr_maj",500,2010,12,5,"eu","2021-2022"
"SMPR Esports","fall_reg1",150,150,1,7,"eu","2021-2022"
"SMPR Esports","fall_reg2",150,300,2,5,"eu","2021-2022"
"SMPR Esports","fall_reg3",250,550,3,4,"eu","2021-2022"
"SMPR Esports","fall_maj",400,950,4,4,"eu","2021-2022"
"SMPR Esports","win_reg1",110,1060,5,4,"eu","2021-2022"
"SMPR Esports","win_reg2",110,1170,6,4,"eu","2021-2022"
"SMPR Esports","win_reg3",110,1280,7,5,"eu","2021-2022"
"SMPR Esports","win_maj",0,1280,8,6,"eu","2021-2022"
"SMPR Esports","spr_reg1",180,1460,9,5,"eu","2021-2022"
"SMPR Esports","spr_reg2",180,1640,10,5,"eu","2021-2022"
"SMPR Esports","spr_reg3",130,1770,11,5,"eu","2021-2022"
"SMPR Esports","spr_maj",0,1770,12,6,"eu","2021-2022"
"Evil Geniuses","fall_reg1",150,150,1,5,"eu","2021-2022"
"Evil Geniuses","fall_reg2",110,260,2,8,"eu","2021-2022"
"Evil Geniuses","fall_reg3",150,410,3,6,"eu","2021-2022"
"Evil Geniuses","fall_maj",0,410,4,6,"eu","2021-2022"
"Evil Geniuses","win_reg1",110,520,5,8,"eu","2021-2022"
"Evil Geniuses","win_reg2",260,780,6,7,"eu","2021-2022"
"Evil Geniuses","win_reg3",220,1000,7,6,"eu","2021-2022"
"Evil Geniuses","win_maj",320,1320,8,5,"eu","2021-2022"
"Evil Geniuses","spr_reg1",80,1400,9,6,"eu","2021-2022"
"Evil Geniuses","spr_reg2",130,1530,10,6,"eu","2021-2022"
"Evil Geniuses","spr_reg3",210,1740,11,6,"eu","2021-2022"
"Evil Geniuses","spr_maj",0,1740,12,7,"eu","2021-2022"
"Team Vitality","fall_reg1",40,40,1,16,"eu","2021-2022"
"Team Vitality","fall_reg2",250,290,2,6,"eu","2021-2022"
"Team Vitality","fall_reg3",150,440,3,5,"eu","2021-2022"
"Team Vitality","fall_maj",140,580,4,5,"eu","2021-2022"
"Team Vitality","win_reg1",190,770,5,5,"eu","2021-2022"
"Team Vitality","win_reg2",60,830,6,6,"eu","2021-2022"
"Team Vitality","win_reg3",60,890,7,7,"eu","2021-2022"
"Team Vitality","win_maj",0,890,8,7,"eu","2021-2022"
"Team Vitality","spr_reg1",250,1140,9,7,"eu","2021-2022"
"Team Vitality","spr_reg2",130,1270,10,8,"eu","2021-2022"
"Team Vitality","spr_reg3",130,1400,11,8,"eu","2021-2022"
"Team Vitality","spr_maj",0,1400,12,8,"eu","2021-2022"
"Luminosity Gaming","fall_reg1",40,40,1,15,"eu","2021-2022"
"Luminosity Gaming","fall_reg2",150,190,2,12,"eu","2021-2022"
"Luminosity Gaming","fall_reg3",70,260,3,13,"eu","2021-2022"
"Luminosity Gaming","fall_maj",0,260,4,13,"eu","2021-2022"
"Luminosity Gaming","win_reg1",110,370,5,12,"eu","2021-2022"
"Luminosity Gaming","win_reg2",160,530,6,12,"eu","2021-2022"
