"team","eventname","score_change","score","event","ranking","region"
"Team Falcons","fall_reg1",301,301,1,1,"mena"
"Team Falcons","fall_reg2",301,602,2,1,"mena"
"Team Falcons","fall_reg3",301,903,3,1,"mena"
"Team Falcons","fall_maj",300,1203,4,1,"mena"
"Team Falcons","win_reg1",351,1554,5,1,"mena"
"Team Falcons","win_reg2",351,1905,6,1,"mena"
"Team Falcons","win_reg3",351,2256,7,1,"mena"
"Team Falcons","win_maj",120,2376,8,1,"mena"
"Team Falcons","spr_reg1",401,2777,9,1,"mena"
"Team Falcons","spr_reg2",401,3178,10,1,"mena"
"Team Falcons","spr_reg3",401,3579,11,1,"mena"
"Team Falcons","spr_maj",700,4279,12,1,"mena"
"Veloce Esports","fall_reg1",200,200,1,4,"mena"
"Veloce Esports","fall_reg2",200,400,2,3,"mena"
"Veloce Esports","fall_reg3",250,650,3,3,"mena"
"Veloce Esports","fall_maj",0,650,4,3,"mena"
"Veloce Esports","win_reg1",190,840,5,3,"mena"
"Veloce Esports","win_reg2",260,1100,6,3,"mena"
"Veloce Esports","win_reg3",260,1360,7,3,"mena"
"Veloce Esports","win_maj",0,1360,8,3,"mena"
"Veloce Esports","spr_reg1",350,1710,9,2,"mena"
"Veloce Esports","spr_reg2",130,1840,10,2,"mena"
"Veloce Esports","spr_reg3",300,2140,11,2,"mena"
"Veloce Esports","spr_maj",0,2140,12,2,"mena"
"01 Esports","fall_reg1",250,250,1,2,"mena"
"01 Esports","fall_reg2",250,500,2,2,"mena"
"01 Esports","fall_reg3",150,650,3,2,"mena"
"01 Esports","fall_maj",0,650,4,2,"mena"
"01 Esports","win_reg1",260,910,5,2,"mena"
"01 Esports","win_reg2",190,1100,6,2,"mena"
"01 Esports","win_reg3",300,1400,7,2,"mena"
"01 Esports","win_maj",0,1400,8,2,"mena"
"01 Esports","spr_reg1",250,1650,9,3,"mena"
"01 Esports","spr_reg2",180,1830,10,3,"mena"
"01 Esports","spr_reg3",180,2010,11,3,"mena"
"01 Esports","spr_maj",0,2010,12,3,"mena"
"KINGS Esports","fall_reg1",110,110,1,10,"mena"
"KINGS Esports","fall_reg2",200,310,2,5,"mena"
"KINGS Esports","fall_reg3",200,510,3,5,"mena"
"KINGS Esports","fall_maj",0,510,4,5,"mena"
"KINGS Esports","win_reg1",160,670,5,4,"mena"
"KINGS Esports","win_reg2",160,830,6,5,"mena"
"KINGS Esports","win_reg3",190,1020,7,5,"mena"
"KINGS Esports","win_maj",0,1020,8,5,"mena"
"KINGS Esports","spr_reg1",210,1230,9,5,"mena"
"KINGS Esports","spr_reg2",300,1530,10,4,"mena"
"KINGS Esports","spr_reg3",210,1740,11,4,"mena"
"KINGS Esports","spr_maj",0,1740,12,4,"mena"
"SCYTES","fall_reg1",150,150,1,6,"mena"
"SCYTES","fall_reg2",150,300,2,7,"mena"
"SCYTES","fall_reg3",70,370,3,7,"mena"
"SCYTES","fall_maj",0,370,4,7,"mena"
"SCYTES","win_reg1",300,670,5,5,"mena"
"SCYTES","win_reg2",300,970,6,4,"mena"
"SCYTES","win_reg3",160,1130,7,4,"mena"
"SCYTES","win_maj",0,1130,8,4,"mena"
"SCYTES","spr_reg1",180,1310,9,4,"mena"
"SCYTES","spr_reg2",210,1520,10,5,"mena"
"SCYTES","spr_reg3",130,1650,11,5,"mena"
"SCYTES","spr_maj",0,1650,12,5,"mena"
"Twisted Minds","fall_reg1",150,150,1,8,"mena"
"Twisted Minds","fall_reg2",110,260,2,9,"mena"
"Twisted Minds","fall_reg3",110,370,3,8,"mena"
"Twisted Minds","fall_maj",0,370,4,8,"mena"
"Twisted Minds","win_reg1",190,560,5,6,"mena"
