"team","eventname","score_change","score","event","ranking","region"
"Asphyx's Minions","spr_reg3",180,680,11,8,"apacs"
"Asphyx's Minions","spr_maj",0,680,12,8,"apacs"
"Shoguns","fall_reg1",0,0,1,37,"apacs"
"Shoguns","fall_reg2",0,0,2,37,"apacs"
"Shoguns","fall_reg3",0,0,3,37,"apacs"
"Shoguns","fall_maj",0,0,4,37,"apacs"
"Shoguns","win_reg1",0,0,5,40,"apacs"
"Shoguns","win_reg2",110,110,6,16,"apacs"
"Shoguns","win_reg3",110,220,7,12,"apacs"
"Shoguns","win_maj",0,220,8,9,"apacs"
"Shoguns","spr_reg1",130,350,9,8,"apacs"
"Shoguns","spr_reg2",130,480,10,9,"apacs"
"Shoguns","spr_reg3",130,610,11,9,"apacs"
"Shoguns","spr_maj",0,610,12,9,"apacs"
"Frost Esports","fall_reg1",0,0,1,27,"apacs"
"Frost Esports","fall_reg2",0,0,2,26,"apacs"
"Frost Esports","fall_reg3",0,0,3,27,"apacs"
"Frost Esports","fall_maj",0,0,4,27,"apacs"
"Frost Esports","win_reg1",0,0,5,31,"apacs"
"Frost Esports","win_reg2",0,0,6,32,"apacs"
"Frost Esports","win_reg3",0,0,7,34,"apacs"
"Frost Esports","win_maj",0,0,8,30,"apacs"
"Frost Esports","spr_reg1",180,180,9,14,"apacs"
"Frost Esports","spr_reg2",210,390,10,10,"apacs"
"Frost Esports","spr_reg3",130,520,11,10,"apacs"
"Frost Esports","spr_maj",0,520,12,10,"apacs"
"Astronic Esports","fall_reg1",0,0,1,18,"apacs"
"Astronic Esports","fall_reg2",0,0,2,18,"apacs"
"Astronic Esports","fall_reg3",0,0,3,22,"apacs"
"Astronic Esports","fall_maj",0,0,4,19,"apacs"
"Astronic Esports","win_reg1",0,0,5,21,"apacs"
"Astronic Esports","win_reg2",0,0,6,21,"apacs"
"Astronic Esports","win_reg3",60,60,7,18,"apacs"
"Astronic Esports","win_maj",0,60,8,14,"apacs"
"Astronic Esports","spr_reg1",130,190,9,12,"apacs"
"Astronic Esports","spr_reg2",130,320,10,11,"apacs"
"Astronic Esports","spr_reg3",180,500,11,11,"apacs"
"Astronic Esports","spr_maj",0,500,12,11,"apacs"
"Not Just Associates","fall_reg1",110,110,1,11,"apacs"
"Not Just Associates","fall_reg2",40,150,2,12,"apacs"
"Not Just Associates","fall_reg3",40,190,3,12,"apacs"
"Not Just Associates","fall_maj",0,190,4,10,"apacs"
"Not Just Associates","win_reg1",60,250,5,9,"apacs"
"Not Just Associates","win_reg2",60,310,6,10,"apacs"
"Not Just Associates","win_reg3",0,310,7,10,"apacs"
"Not Just Associates","win_maj",0,310,8,8,"apacs"
"Not Just Associates","spr_reg1",0,310,9,9,"apacs"
"Not Just Associates","spr_reg2",0,310,10,12,"apacs"
"Not Just Associates","spr_reg3",0,310,11,12,"apacs"
"Not Just Associates","spr_maj",0,310,12,12,"apacs"
"FULLTIMEASIANS","fall_reg1",0,0,1,28,"apacs"
"FULLTIMEASIANS","fall_reg2",0,0,2,27,"apacs"
"FULLTIMEASIANS","fall_reg3",0,0,3,28,"apacs"
"FULLTIMEASIANS","fall_maj",0,0,4,28,"apacs"
"FULLTIMEASIANS","win_reg1",0,0,5,32,"apacs"
"FULLTIMEASIANS","win_reg2",0,0,6,33,"apacs"
"FULLTIMEASIANS","win_reg3",0,0,7,35,"apacs"
"FULLTIMEASIANS","win_maj",0,0,8,31,"apacs"
"FULLTIMEASIANS","spr_reg1",0,0,9,33,"apacs"
"FULLTIMEASIANS","spr_reg2",80,80,10,19,"apacs"
"FULLTIMEASIANS","spr_reg3",130,210,11,15,"apacs"
"FULLTIMEASIANS","spr_maj",0,210,12,15,"apacs"
"Friendly Fire Esports","fall_reg1",0,0,1,26,"apacs"
"Friendly Fire Esports","fall_reg2",0,0,2,25,"apacs"
"Friendly Fire Esports","fall_reg3",0,0,3,26,"apacs"
"Friendly Fire Esports","fall_maj",0,0,4,26,"apacs"
"Friendly Fire Esports","win_reg1",0,0,5,30,"apacs"
"Friendly Fire Esports","win_reg2",0,0,6,31,"apacs"
"Friendly Fire Esports","win_reg3",0,0,7,33,"apacs"
"Friendly Fire Esports","win_maj",0,0,8,29,"apacs"
"Friendly Fire Esports","spr_reg1",80,80,9,17,"apacs"
"Friendly Fire Esports","spr_reg2",80,160,10,15,"apacs"
"Friendly Fire Esports","spr_reg3",0,160,11,18,"apacs"
"Friendly Fire Esports","spr_maj",0,160,12,18,"apacs"
"Dark Rift Esports","fall_reg1",0,0,1,21,"apacs"
"Dark Rift Esports","fall_reg2",0,0,2,21,"apacs"
