team,fall_open,fall_cup
Gen.G Mobil1 Racing,12,12
FaZe Clan,16,6
Version1,6,16
Spacestation Gaming,9,9
G2 Esports,9,4
NRG,4,9
FURIA Esports,6,6
OpTic Gaming,6,6
Complexity Gaming,4,6
Shopify Rebellion,6,4
Dignitas,3,4
Team AXLE,3,3
Knights,4,0
Rogue,2,2
26 RISING,0,3
Flashes of Brilliance,0,3
Sol,3,0
Ghost Gaming,0,2
Luminosity Gaming,2,0
