"team","eventname","score_change","score","event","ranking","region"
"FURIA Esports","fall_reg1",301,301,1,1,"sam"
"FURIA Esports","fall_reg2",150,451,2,2,"sam"
"FURIA Esports","fall_reg3",301,752,3,1,"sam"
"FURIA Esports","fall_maj",140,892,4,1,"sam"
"FURIA Esports","win_reg1",160,1052,5,1,"sam"
"FURIA Esports","win_reg2",351,1403,6,1,"sam"
"FURIA Esports","win_reg3",351,1754,7,1,"sam"
"FURIA Esports","win_maj",380,2134,8,1,"sam"
"FURIA Esports","spr_reg1",300,2434,9,1,"sam"
"FURIA Esports","spr_reg2",401,2835,10,1,"sam"
"FURIA Esports","spr_reg3",401,3236,11,1,"sam"
"FURIA Esports","spr_maj",420,3656,12,1,"sam"
"Team Secret","fall_reg1",250,250,1,2,"sam"
"Team Secret","fall_reg2",200,450,2,3,"sam"
"Team Secret","fall_reg3",200,650,3,3,"sam"
"Team Secret","fall_maj",0,650,4,3,"sam"
"Team Secret","win_reg1",351,1001,5,2,"sam"
"Team Secret","win_reg2",300,1301,6,2,"sam"
"Team Secret","win_reg3",220,1521,7,3,"sam"
"Team Secret","win_maj",120,1641,8,2,"sam"
"Team Secret","spr_reg1",401,2042,9,2,"sam"
"Team Secret","spr_reg2",300,2342,10,2,"sam"
"Team Secret","spr_reg3",300,2642,11,2,"sam"
"Team Secret","spr_maj",260,2902,12,2,"sam"
"The Club","fall_reg1",200,200,1,4,"sam"
"The Club","fall_reg2",301,501,2,1,"sam"
"The Club","fall_reg3",150,651,3,2,"sam"
"The Club","fall_maj",80,731,4,2,"sam"
"The Club","win_reg1",260,991,5,3,"sam"
"The Club","win_reg2",260,1251,6,3,"sam"
"The Club","win_reg3",300,1551,7,2,"sam"
"The Club","win_maj",0,1551,8,3,"sam"
"The Club","spr_reg1",250,1801,9,3,"sam"
"The Club","spr_reg2",350,2151,10,3,"sam"
"The Club","spr_reg3",350,2501,11,3,"sam"
"The Club","spr_maj",0,2501,12,3,"sam"
"KRÜ Esports","fall_reg1",0,0,1,23,"sam"
"KRÜ Esports","fall_reg2",0,0,2,23,"sam"
"KRÜ Esports","fall_reg3",0,0,3,24,"sam"
"KRÜ Esports","fall_maj",0,0,4,24,"sam"
"KRÜ Esports","win_reg1",300,300,5,11,"sam"
"KRÜ Esports","win_reg2",190,490,6,9,"sam"
"KRÜ Esports","win_reg3",190,680,7,8,"sam"
"KRÜ Esports","win_maj",0,680,8,7,"sam"
"KRÜ Esports","spr_reg1",350,1030,9,7,"sam"
"KRÜ Esports","spr_reg2",250,1280,10,6,"sam"
"KRÜ Esports","spr_reg3",250,1530,11,4,"sam"
"KRÜ Esports","spr_maj",0,1530,12,4,"sam"
"EndGame","fall_reg1",150,150,1,5,"sam"
"EndGame","fall_reg2",110,260,2,8,"sam"
"EndGame","fall_reg3",250,510,3,5,"sam"
"EndGame","fall_maj",0,510,4,5,"sam"
"EndGame","win_reg1",110,620,5,7,"sam"
"EndGame","win_reg2",110,730,6,7,"sam"
"EndGame","win_reg3",260,990,7,5,"sam"
"EndGame","win_maj",0,990,8,5,"sam"
"EndGame","spr_reg1",210,1200,9,4,"sam"
"EndGame","spr_reg2",180,1380,10,4,"sam"
"EndGame","spr_reg3",130,1510,11,5,"sam"
"EndGame","spr_maj",0,1510,12,5,"sam"
"Hawks","fall_reg1",200,200,1,3,"sam"
"Hawks","fall_reg2",150,350,2,5,"sam"
"Hawks","fall_reg3",110,460,3,7,"sam"
"Hawks","fall_maj",0,460,4,7,"sam"
"Hawks","win_reg1",220,680,5,6,"sam"
"Hawks","win_reg2",60,740,6,6,"sam"
"Hawks","win_reg3",190,930,7,6,"sam"
"Hawks","win_maj",0,930,8,6,"sam"
"Hawks","spr_reg1",130,1060,9,6,"sam"
"Hawks","spr_reg2",210,1270,10,7,"sam"
"Hawks","spr_reg3",180,1450,11,6,"sam"
"Hawks","spr_maj",0,1450,12,6,"sam"
"Vipers eSports","fall_reg1",150,150,1,8,"sam"
"Vipers eSports","fall_reg2",200,350,2,6,"sam"
"Vipers eSports","fall_reg3",150,500,3,6,"sam"
"Vipers eSports","fall_maj",0,500,4,6,"sam"
"Vipers eSports","win_reg1",190,690,5,5,"sam"
"Vipers eSports","win_reg2",160,850,6,4,"sam"
"Vipers eSports","win_reg3",160,1010,7,4,"sam"
"Vipers eSports","win_maj",0,1010,8,4,"sam"
"Vipers eSports","spr_reg1",180,1190,9,5,"sam"
"Vipers eSports","spr_reg2",130,1320,10,5,"sam"
"Vipers eSports","spr_reg3",130,1450,11,7,"sam"
"Vipers eSports","spr_maj",0,1450,12,7,"sam"
"Leviatán","fall_reg1",70,70,1,13,"sam"
"Leviatán","fall_reg2",70,140,2,13,"sam"
"Leviatán","fall_reg3",150,290,3,12,"sam"
"Leviatán","fall_maj",0,290,4,12,"sam"
"Leviatán","win_reg1",110,400,5,8,"sam"
"Leviatán","win_reg2",110,510,6,8,"sam"
"Leviatán","win_reg3",110,620,7,9,"sam"
"Leviatán","win_maj",0,620,8,8,"sam"
"Leviatán","spr_reg1",180,800,9,8,"sam"
"Leviatán","spr_reg2",180,980,10,8,"sam"
"Leviatán","spr_reg3",210,1190,11,8,"sam"
