"team","eventname","score_change","score","event","ranking","region"
"Oxygen Esports","fall_open",16,16,1,1,"eu"
"Karmine Corp","fall_open",12,12,1,2,"eu"
"Moist Esports","fall_open",9,9,1,3,"eu"
"Quadrant","fall_open",9,9,1,4,"eu"
"G1","fall_open",6,6,1,5,"eu"
"Team BDS","fall_open",6,6,1,6,"eu"
"Team Liquid","fall_open",6,6,1,7,"eu"
"Tundra Esports","fall_open",6,6,1,8,"eu"
"Aogiri","fall_open",4,4,1,9,"eu"
"Monkeys","fall_open",4,4,1,10,"eu"
"Evil Geniuses","fall_open",3,3,1,12,"eu"
"Solary","fall_open",3,3,1,13,"eu"
"Soniqs","fall_open",4,4,1,11,"eu"
"Williams Resolve","fall_open",3,3,1,14,"eu"
"Endpoint CeX","fall_open",2,2,1,15,"eu"
"Guild Esports","fall_open",2,2,1,16,"eu"
