team,fall_open,fall_cup
Team Falcons,12,16
KRN,16,9
Geekay Esports,9,9
Twisted Minds,6,12
Veloce Esports,9,6
Ketchup,6,6
NOBLES,6,6
ANKAA Esports,6,4
Arrows,2,6
Infinity,4,4
Outsiders,4,3
T2K,2,4
Vision Esports,3,3
Nightmare,4,0
Atlantic,3,0
Missing,3,0
ULLA,0,3
MonsterS,0,2
NextStart Gaming,0,2
