team,fall_open
The Club,16
EndGame,12
KRÜ Esports,9
Team Secret,9
Backroom Enjoyers,6
Empyre Esports,6
Epiphany,6
Only Outliers,6
Atypical,4
Lotus,4
True Neutral,4
Cadeau Labs Gaming,3
Exeed Brazil,3
Parabellum Esports,3
Palito Bombon Helado,2
Alpha United,2
