team,fall_open
Oxygen Esports,16
Karmine Corp,12
Moist Esports,9
Quadrant,9
G1,6
Team BDS,6
Team Liquid,6
Tundra Esports,6
Aogiri,4
Monkeys,4
Evil Geniuses,3
Solary,3
Soniqs,4
Williams Resolve,3
Endpoint CeX,2
Guild Esports,2
