"team","eventname","score_change","score","event","ranking","region"
"May contain nuts","fall_open",16,16,1,1,"ssa"
"Orlando Pirates Exdee","fall_open",12,12,1,2,"ssa"
"Millennial Times Gaming","fall_open",9,9,1,3,"ssa"
"Reformed","fall_open",9,9,1,4,"ssa"
"ATK","fall_open",6,6,1,5,"ssa"
"Aureon E-Sports","fall_open",6,6,1,6,"ssa"
"Team Espionage","fall_open",6,6,1,7,"ssa"
"White Rabbit Gaming","fall_open",6,6,1,8,"ssa"
"AIPX Gaming","fall_open",4,4,1,9,"ssa"
"The Bros","fall_open",4,4,1,11,"ssa"
"Astronic Esports","fall_open",3,3,1,12,"ssa"
"Fish","fall_open",4,4,1,10,"ssa"
"LUPO ROSSO","fall_open",2,2,1,15,"ssa"
"Team TKO","fall_open",2,2,1,16,"ssa"
"ICE Esports","fall_open",3,3,1,13,"ssa"
"Unity","fall_open",3,3,1,14,"ssa"
