"team","eventname","score_change","score","event","ranking","region","season"
"NOBLES","fall_open",6,6,1,7,"mena","2022-2023"
"NOBLES","fall_cup",6,12,2,7,"mena","2022-2023"
"ANKAA Esports","fall_open",6,6,1,5,"mena","2022-2023"
"ANKAA Esports","fall_cup",4,10,2,8,"mena","2022-2023"
"Arrows","fall_open",2,2,1,15,"mena","2022-2023"
"Arrows","fall_cup",6,8,2,9,"mena","2022-2023"
"Infinity","fall_open",4,4,1,9,"mena","2022-2023"
"Infinity","fall_cup",4,8,2,10,"mena","2022-2023"
"Outsiders","fall_open",4,4,1,11,"mena","2022-2023"
"Outsiders","fall_cup",3,7,2,11,"mena","2022-2023"
"T2K","fall_open",2,2,1,16,"mena","2022-2023"
"T2K","fall_cup",4,6,2,12,"mena","2022-2023"
"Vision Esports","fall_open",3,3,1,14,"mena","2022-2023"
"Vision Esports","fall_cup",3,6,2,13,"mena","2022-2023"
"Nightmare","fall_open",4,4,1,10,"mena","2022-2023"
"Nightmare","fall_cup",0,4,2,14,"mena","2022-2023"
"Atlantic","fall_open",3,3,1,12,"mena","2022-2023"
"Atlantic","fall_cup",0,3,2,15,"mena","2022-2023"
"Missing","fall_open",3,3,1,13,"mena","2022-2023"
"Missing","fall_cup",0,3,2,16,"mena","2022-2023"
"ULLA","fall_open",0,0,1,19,"mena","2022-2023"
"ULLA","fall_cup",3,3,2,17,"mena","2022-2023"
"MonsterS","fall_open",0,0,1,17,"mena","2022-2023"
"MonsterS","fall_cup",2,2,2,18,"mena","2022-2023"
"NextStart Gaming","fall_open",0,0,1,18,"mena","2022-2023"
"NextStart Gaming","fall_cup",2,2,2,19,"mena","2022-2023"
"James Cheese","fall_open",16,16,1,1,"apac","2022-2023"
"James Cheese","fall_cup",16,32,2,1,"apac","2022-2023"
"DeToNator","fall_open",12,12,1,2,"apac","2022-2023"
"DeToNator","fall_cup",9,21,2,2,"apac","2022-2023"
"Gaimin Gladiators","fall_open",9,9,1,3,"apac","2022-2023"
"Gaimin Gladiators","fall_cup",12,21,2,3,"apac","2022-2023"
"God Speed","fall_open",9,9,1,4,"apac","2022-2023"
"God Speed","fall_cup",6,15,2,4,"apac","2022-2023"
"Tough Love","fall_open",6,6,1,8,"apac","2022-2023"
"Tough Love","fall_cup",9,15,2,5,"apac","2022-2023"
"1620 Kings","fall_open",6,6,1,5,"apac","2022-2023"
"1620 Kings","fall_cup",6,12,2,6,"apac","2022-2023"
"Brokoli","fall_open",6,6,1,6,"apac","2022-2023"
"Brokoli","fall_cup",6,12,2,7,"apac","2022-2023"
"Nimmt55","fall_open",6,6,1,7,"apac","2022-2023"
"Nimmt55","fall_cup",6,12,2,8,"apac","2022-2023"
"C.E.R.T.","fall_open",4,4,1,9,"apac","2022-2023"
"C.E.R.T.","fall_cup",3,7,2,9,"apac","2022-2023"
"Cobweb City","fall_open",4,4,1,10,"apac","2022-2023"
"Cobweb City","fall_cup",3,7,2,10,"apac","2022-2023"
"GracesBlaze Refine","fall_open",4,4,1,11,"apac","2022-2023"
"GracesBlaze Refine","fall_cup",3,7,2,11,"apac","2022-2023"
"Asia Manji","fall_open",2,2,1,15,"apac","2022-2023"
"Asia Manji","fall_cup",4,6,2,12,"apac","2022-2023"
"Dark Rift Esports","fall_open",3,3,1,13,"apac","2022-2023"
"Dark Rift Esports","fall_cup",2,5,2,13,"apac","2022-2023"
"Sagetta","fall_open",0,0,1,18,"apac","2022-2023"
"Sagetta","fall_cup",4,4,2,14,"apac","2022-2023"
"Vainshoes","fall_open",0,0,1,19,"apac","2022-2023"
"Vainshoes","fall_cup",4,4,2,15,"apac","2022-2023"
"Team GanDerS","fall_open",2,2,1,16,"apac","2022-2023"
"Team GanDerS","fall_cup",0,2,2,19,"apac","2022-2023"
"Bluabslem","fall_open",0,0,1,17,"apac","2022-2023"
"Bluabslem","fall_cup",2,2,2,18,"apac","2022-2023"
"Blueabstik","fall_open",3,3,1,12,"apac","2022-2023"
"Blueabstik","fall_cup",0,3,2,16,"apac","2022-2023"
"Xayfhers","fall_open",3,3,1,14,"apac","2022-2023"
"Xayfhers","fall_cup",0,3,2,17,"apac","2022-2023"
"May contain nuts","fall_open",16,16,1,1,"ssa","2022-2023"
"Orlando Pirates Exdee","fall_open",12,12,1,2,"ssa","2022-2023"
"Millennial Times Gaming","fall_open",9,9,1,3,"ssa","2022-2023"
"Reformed","fall_open",9,9,1,4,"ssa","2022-2023"
"ATK","fall_open",6,6,1,5,"ssa","2022-2023"
"Aureon E-Sports","fall_open",6,6,1,6,"ssa","2022-2023"
"Team Espionage","fall_open",6,6,1,7,"ssa","2022-2023"
"White Rabbit Gaming","fall_open",6,6,1,8,"ssa","2022-2023"
"AIPX Gaming","fall_open",4,4,1,9,"ssa","2022-2023"
"The Bros","fall_open",4,4,1,11,"ssa","2022-2023"
"Astronic Esports","fall_open",3,3,1,12,"ssa","2022-2023"
"Fish","fall_open",4,4,1,10,"ssa","2022-2023"
"LUPO ROSSO","fall_open",2,2,1,15,"ssa","2022-2023"
"Team TKO","fall_open",2,2,1,16,"ssa","2022-2023"
"ICE Esports","fall_open",3,3,1,13,"ssa","2022-2023"
"Unity","fall_open",3,3,1,14,"ssa","2022-2023"
